Cliente_ID;Genero;Adulto_Mayor;Tiene_Pareja;Tiene_Dependientes;Antiguedad_Meses;Rango_Antiguedad;Servicio_Telefono;Multiples_Lineas;Servicio_Internet;Seguridad_Online;Respaldo_Online;Proteccion_Dispositivo;Soporte_Tecnico;Streaming_TV;Streaming_Peliculas;Tipo_Contrato;Facturacion_Papel;Metodo_Pago;Cargo_Mensual;Cargo_Total;Numero_Servicios;Ingreso_Riesgo;Estado_Churn;Churn
1680-VDCWW;Male;0;Yes;No;12;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19,80;202,25;1;0,00;Activo;0
1066-JKSGK;Male;0;No;No;1;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,15;20,15;1;20,15;Churn;1
3638-WEABW;Female;0;Yes;No;58;49-72 meses;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);59,90;3505,10;4;0,00;Activo;0
6322-HRPFA;Male;0;Yes;Yes;49;49-72 meses;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);59,60;2970,30;4;0,00;Activo;0
6865-JZNKO;Female;0;No;No;30;25-48 meses;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);55,30;1530,60;3;0,00;Activo;0
6467-CHFZW;Male;0;Yes;Yes;47;25-48 meses;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,35;4749,15;5;99,35;Churn;1
8665-UTDHZ;Male;0;Yes;Yes;1;0-12 meses;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30,20;30,20;1;30,20;Churn;1
5248-YGIJN;Male;0;Yes;No;72;49-72 meses;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);90,25;6369,45;8;0,00;Activo;0
8773-HHUOZ;Female;0;No;Yes;17;13-24 meses;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;64,70;1093,10;3;64,70;Churn;1
3841-NFECX;Female;1;Yes;No;71;49-72 meses;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);96,35;6766,95;6;0,00;Activo;0
4929-XIHVW;Male;1;Yes;No;2;0-12 meses;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);95,50;181,65;4;0,00;Activo;0
6827-IEAUQ;Female;0;Yes;Yes;27;25-48 meses;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;66,15;1874,45;5;0,00;Activo;0
7310-EGVHZ;Male;0;No;No;1;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);20,20;20,20;1;0,00;Activo;0
3413-BMNZE;Male;1;No;No;1;0-12 meses;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);45,25;45,25;1;0,00;Activo;0
6234-RAAPL;Female;0;Yes;Yes;72;49-72 meses;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Bank transfer (automatic);99,90;7251,70;6;0,00;Activo;0
6047-YHPVI;Male;0;No;No;5;0-12 meses;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,70;316,90;1;69,70;Churn;1
6572-ADKRS;Female;0;No;No;46;25-48 meses;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);74,80;3548,30;2;0,00;Activo;0
5380-WJKOV;Male;0;No;No;34;25-48 meses;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106,35;3549,25;6;106,35;Churn;1
8168-UQWWF;Female;0;No;No;11;0-12 meses;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);97,85;1105,40;5;97,85;Churn;1
8865-TNMNX;Male;0;Yes;Yes;10;0-12 meses;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;49,55;475,70;2;0,00;Activo;0
9489-DEDVP;Female;0;Yes;Yes;70;49-72 meses;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Credit card (automatic);69,20;4872,35;5;0,00;Activo;0
9867-JCZSP;Female;0;Yes;Yes;17;13-24 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,75;418,25;1;0,00;Activo;0
4671-VJLCL;Female;0;No;No;63;49-72 meses;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Credit card (automatic);79,85;4861,45;7;0,00;Activo;0
4080-IIARD;Female;0;Yes;No;13;13-24 meses;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;76,20;981,45;6;0,00;Activo;0
3714-NTNFO;Female;0;No;No;49;49-72 meses;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,50;3906,70;3;0,00;Activo;0
5948-UJZLF;Male;0;No;No;2;0-12 meses;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check;49,25;97,00;2;0,00;Activo;0
7760-OYPDY;Female;0;No;No;2;0-12 meses;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,65;144,15;2;80,65;Churn;1
7639-LIAYI;Male;0;No;No;52;49-72 meses;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);79,75;4217,80;6;0,00;Activo;0
2954-PIBKO;Female;0;Yes;Yes;69;49-72 meses;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);64,15;4254,10;5;0,00;Activo;0
8012-SOUDQ;Female;1;No;No;43;25-48 meses;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;90,25;3838,75;4;0,00;Activo;0
9420-LOJKX;Female;0;No;No;15;13-24 meses;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,10;1426,40;5;99,10;Churn;1
6575-SUVOI;Female;1;Yes;No;25;25-48 meses;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);69,50;1752,65;5;0,00;Activo;0
7495-OOKFY;Female;1;Yes;No;8;0-12 meses;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);80,65;633,30;3;80,65;Churn;1
4667-QONEA;Female;1;Yes;Yes;60;49-72 meses;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);74,85;4456,35;6;0,00;Activo;0
1658-BYGOY;Male;1;No;No;18;13-24 meses;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,45;1752,55;4;95,45;Churn;1
8769-KKTPH;Female;0;Yes;Yes;63;49-72 meses;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);99,65;6311,20;5;0,00;Activo;0
5067-XJQFU;Male;1;Yes;Yes;66;49-72 meses;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;108,45;7076,35;7;0,00;Activo;0
3957-SQXML;Female;0;Yes;Yes;34;25-48 meses;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24,95;894,30;2;0,00;Activo;0
5954-BDFSG;Female;0;No;No;72;49-72 meses;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);107,50;7853,70;6;0,00;Activo;0
0434-CSFON;Female;0;Yes;No;47;25-48 meses;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,50;4707,10;5;0,00;Activo;0
1215-FIGMP;Male;0;No;No;60;49-72 meses;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89,90;5450,70;4;0,00;Activo;0
0526-SXDJP;Male;0;Yes;No;72;49-72 meses;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Bank transfer (automatic);42,10;2962,00;3;0,00;Activo;0
0557-ASKVU;Female;0;Yes;Yes;18;13-24 meses;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);54,40;957,10;3;0,00;Activo;0
5698-BQJOH;Female;0;No;No;9;0-12 meses;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;94,40;857,25;4;94,40;Churn;1
5122-CYFXA;Female;0;No;No;3;0-12 meses;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;75,30;244,10;5;0,00;Activo;0
8627-ZYGSZ;Male;0;Yes;No;47;25-48 meses;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check;78,90;3650,35;3;0,00;Activo;0
3410-YOQBQ;Female;0;No;No;31;25-48 meses;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;79,20;2497,20;6;0,00;Activo;0
3170-NMYVV;Female;0;Yes;Yes;50;49-72 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,15;930,90;1;0,00;Activo;0
7410-OIEDU;Male;0;No;No;10;0-12 meses;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;79,85;887,35;3;0,00;Activo;0
2273-QCKXA;Male;0;No;No;1;0-12 meses;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;49,05;49,05;2;0,00;Activo;0
0731-EBJQB;Female;0;Yes;Yes;52;49-72 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;20,40;1090,65;1;0,00;Activo;0
1891-QRQSA;Male;1;Yes;Yes;64;49-72 meses;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);111,60;7099,00;7;0,00;Activo;0
8028-PNXHQ;Male;0;Yes;Yes;62;49-72 meses;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24,25;1424,60;2;0,00;Activo;0
5630-AHZIL;Female;0;No;Yes;3;0-12 meses;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);64,50;177,40;4;0,00;Activo;0
2673-CXQEU;Female;1;No;No;56;49-72 meses;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;110,50;6139,50;7;0,00;Activo;0
6416-JNVRK;Female;0;No;No;46;25-48 meses;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);55,65;2688,85;2;0,00;Activo;0
5590-ZSKRV;Female;0;Yes;Yes;8;0-12 meses;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;54,65;482,25;3;0,00;Activo;0
0191-ZHSKZ;Male;1;No;No;30;25-48 meses;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;74,75;2111,30;5;0,00;Activo;0
3887-PBQAO;Female;0;Yes;Yes;45;25-48 meses;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);25,90;1216,60;2;0,00;Activo;0
5919-TMRGD;Female;0;No;Yes;1;0-12 meses;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79,35;79,35;2;79,35;Churn;1
8108-UXRQN;Female;0;Yes;Yes;11;0-12 meses;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;50,55;565,35;3;0,00;Activo;0
9191-MYQKX;Female;0;Yes;No;7;0-12 meses;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,15;496,90;2;75,15;Churn;1
9919-YLNNG;Female;0;No;No;42;25-48 meses;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103,80;4327,50;6;0,00;Activo;0
0318-ZOPWS;Female;0;Yes;No;49;49-72 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20,15;973,35;1;0,00;Activo;0
4445-ZJNMU;Male;0;No;No;9;0-12 meses;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,30;918,75;5;0,00;Activo;0
4808-YNLEU;Female;0;Yes;No;35;25-48 meses;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Bank transfer (automatic);62,15;2215,45;3;0,00;Activo;0
1862-QRWPE;Female;0;Yes;Yes;48;25-48 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,65;1057,00;1;0,00;Activo;0
2796-NNUFI;Female;0;Yes;Yes;46;25-48 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,95;927,10;1;0,00;Activo;0
3016-KSVCP;Male;0;Yes;No;29;25-48 meses;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;33,75;1009,25;1;0,00;Activo;0
4767-HZZHQ;Male;0;Yes;Yes;30;25-48 meses;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);82,05;2570,20;3;0,00;Activo;0
2424-WVHPL;Male;1;No;No;1;0-12 meses;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;74,70;74,70;2;0,00;Activo;0
7233-PAHHL;Male;0;Yes;Yes;66;49-72 meses;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84,00;5714,25;7;0,00;Activo;0
6067-NGCEU;Female;0;No;No;65;49-72 meses;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);111,05;7107,00;7;0,00;Activo;0
9848-JQJTX;Male;0;No;No;72;49-72 meses;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);100,90;7459,05;6;0,00;Activo;0
8637-XJIVR;Female;0;No;No;12;0-12 meses;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;78,95;927,35;3;78,95;Churn;1
9803-FTJCG;Male;0;Yes;Yes;71;49-72 meses;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);66,85;4748,70;5;0,00;Activo;0
0278-YXOOG;Male;0;No;No;5;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;21,05;113,85;1;21,05;Churn;1
3212-KXOCR;Male;0;No;No;52;49-72 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);21,00;1107,20;1;0,00;Activo;0
4598-XLKNJ;Female;1;Yes;No;25;25-48 meses;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98,50;2514,50;5;98,50;Churn;1
6380-ARCEH;Male;0;No;No;1;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,20;20,20;1;0,00;Activo;0
3679-XASPY;Female;0;Yes;Yes;1;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19,45;19,45;1;0,00;Activo;0
7123-WQUHX;Male;0;No;No;38;25-48 meses;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic);95,00;3605,60;5;0,00;Activo;0
5386-THSLQ;Female;1;Yes;No;66;49-72 meses;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic);45,55;3027,25;3;0,00;Activo;0
3192-NQECA;Male;0;Yes;No;68;49-72 meses;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110,00;7611,85;7;110,00;Churn;1
6180-YBIQI;Male;0;No;No;5;0-12 meses;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;24,30;100,20;0;0,00;Activo;0
6728-DKUCO;Female;0;Yes;Yes;72;49-72 meses;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;104,15;7303,05;6;0,00;Activo;0
9750-BOOHV;Female;0;No;No;32;25-48 meses;No;No phone service;DSL;Yes;No;No;No;No;No;One year;No;Mailed check;30,15;927,65;1;0,00;Activo;0
8597-CWYHH;Male;0;No;No;43;25-48 meses;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check;94,35;3921,30;4;0,00;Activo;0
2848-YXSMW;Male;0;Yes;Yes;72;49-72 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,40;1363,25;1;0,00;Activo;0
0486-HECZI;Male;0;Yes;No;55;49-72 meses;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;96,75;5238,90;5;96,75;Churn;1
4549-ZDQYY;Female;0;No;No;52;49-72 meses;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Credit card (automatic);57,95;3042,25;4;0,00;Activo;0
5712-AHQNN;Female;0;No;No;43;25-48 meses;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;91,65;3954,10;4;0,00;Activo;0
4846-WHAFZ;Female;1;Yes;No;37;25-48 meses;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76,50;2868,15;2;76,50;Churn;1
5256-SKJGO;Female;0;Yes;Yes;64;49-72 meses;No;No phone service;DSL;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check;54,60;3423,50;4;0,00;Activo;0
3071-VBYPO;Male;0;Yes;Yes;3;0-12 meses;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;89,85;248,40;4;0,00;Activo;0
9560-BBZXK;Female;0;No;No;36;25-48 meses;No;No phone service;DSL;Yes;No;No;No;No;No;Two year;No;Bank transfer (automatic);31,05;1126,35;1;0,00;Activo;0
5299-RULOA;Female;0;Yes;Yes;10;0-12 meses;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,25;1064,65;5;100,25;Churn;1
8402-OOOHJ;Female;0;No;No;41;25-48 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,65;835,15;1;0,00;Activo;0
9445-ZUEQE;Male;0;Yes;Yes;27;25-48 meses;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);85,20;2151,60;4;0,00;Activo;0
1091-SOZGA;Female;0;Yes;Yes;56;49-72 meses;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);99,80;5515,45;5;0,00;Activo;0
2928-HLDBA;Female;0;No;No;6;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,70;112,75;1;0,00;Activo;0
0404-SWRVG;Male;0;No;No;3;0-12 meses;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,40;229,55;2;74,40;Churn;1
6497-TILVL;Female;0;Yes;Yes;7;0-12 meses;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;50,70;350,35;2;0,00;Activo;0
7219-TLZHO;Female;0;Yes;Yes;4;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,85;62,90;1;0,00;Activo;0
4622-YNKIJ;Male;0;No;No;33;25-48 meses;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;Two year;Yes;Electronic check;88,95;3027,65;4;0,00;Activo;0
4412-YLTKF;Female;1;No;No;27;25-48 meses;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;78,05;2135,50;3;78,05;Churn;1
6734-PSBAW;Male;0;Yes;No;72;49-72 meses;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);23,55;1723,95;2;0,00;Activo;0
3930-ZGWVE;Male;0;No;No;1;0-12 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,75;19,75;1;0,00;Activo;0
2639-UGMAZ;Male;1;No;No;71;49-72 meses;No;No phone service;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;56,45;3985,35;4;0,00;Activo;0
2876-GZYZC;Female;0;No;No;13;13-24 meses;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85,95;1215,65;3;0,00;Activo;0
6207-WIOLX;Female;0;Yes;Yes;25;25-48 meses;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);58,60;1502,65;5;58,60;Churn;1
8587-XYZSF;Male;0;No;No;67;49-72 meses;Yes;No;DSL;No;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);50,55;3260,10;2;0,00;Activo;0
3091-FYHKI;Male;0;No;No;1;0-12 meses;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;35,45;35,45;1;35,45;Churn;1
2372-HWUHI;Male;0;No;No;2;0-12 meses;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;44,35;81,25;1;44,35;Churn;1
7799-LGRDP;Female;0;No;No;43;25-48 meses;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);25,70;1188,20;2;0,00;Activo;0
7850-VWJUU;Female;0;No;No;23;13-24 meses;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,00;1778,50;2;0,00;Activo;0
3774-VBNXY;Female;0;Yes;Yes;64;49-72 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,20;1277,75;1;0,00;Activo;0
6217-KDYWC;Male;0;No;Yes;57;49-72 meses;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,60;1170,55;1;0,00;Activo;0
