Cliente_ID,Fecha_Inicio,Fecha_Fin,Tipo_Contrato,Facturacion_Papel,Metodo_Pago,Cargo_Mensual,Cargo_Total,Antiguedad_Dias,Antiguedad_Meses,Rango_Antiguedad,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Multiples_Lineas,Churn
8769-KKTPH,2014-11-01,No,One year,Yes,Credit card (automatic),99.65,6277.95,1918,63,49-72 meses,Female,0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,0
5067-XJQFU,2014-08-01,No,One year,Yes,Electronic check,108.45,7730.32,2010,66,49-72 meses,Male,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,0
3957-SQXML,2017-04-01,No,Two year,No,Credit card (automatic),24.95,890.72,1036,34,25-48 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,Yes,0
5954-BDFSG,2014-02-01,No,Two year,Yes,Credit card (automatic),107.5,7740.0,2191,72,49-72 meses,Female,0,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,0
0434-CSFON,2016-03-01,No,Month-to-month,Yes,Electronic check,100.5,4723.5,1432,47,25-48 meses,Female,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0
1215-FIGMP,2015-02-01,2018-07-01,Month-to-month,Yes,Bank transfer (automatic),89.9,3685.9,1246,41,25-48 meses,Male,0,No,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,1
0526-SXDJP,2014-02-01,No,Two year,No,Bank transfer (automatic),42.1,3304.01,2191,72,49-72 meses,Male,0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No service,0
0557-ASKVU,2018-08-01,No,One year,Yes,Credit card (automatic),54.4,1008.58,549,18,13-24 meses,Female,0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,0
5698-BQJOH,2019-04-01,No,Month-to-month,No,Electronic check,94.4,944.0,306,10,0-12 meses,Female,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,0
5122-CYFXA,2019-11-01,No,Month-to-month,Yes,Electronic check,75.3,243.97,92,3,0-12 meses,Female,0,No,No,DSL,No,Yes,No,Yes,Yes,Yes,No,0
8627-ZYGSZ,2016-03-01,No,One year,Yes,Electronic check,78.9,3930.8,1432,47,25-48 meses,Male,0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,0
3410-YOQBQ,2017-07-01,No,Two year,No,Mailed check,79.2,2455.2,945,31,25-48 meses,Female,0,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,0
3170-NMYVV,2015-12-01,No,Two year,No,Bank transfer (automatic),20.15,1007.5,1523,50,49-72 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
7410-OIEDU,2019-04-01,No,Month-to-month,Yes,Mailed check,79.85,870.37,306,10,0-12 meses,Male,0,No,No,Fiber optic,Yes,No,Yes,No,No,No,No,0
2273-QCKXA,2020-01-01,No,Month-to-month,No,Mailed check,49.05,52.48,31,1,0-12 meses,Male,0,No,No,DSL,No,No,No,Yes,No,No,No,0
0731-EBJQB,2015-10-01,No,One year,Yes,Electronic check,20.4,1060.8,1584,52,49-72 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
1891-QRQSA,2014-10-01,No,Two year,Yes,Bank transfer (automatic),111.6,7142.4,1949,64,49-72 meses,Male,1,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,0
8028-PNXHQ,2014-12-01,No,Two year,Yes,Bank transfer (automatic),24.25,1503.5,1888,62,49-72 meses,Male,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,Yes,0
5630-AHZIL,2019-11-01,No,Month-to-month,Yes,Bank transfer (automatic),64.5,193.5,92,3,0-12 meses,Female,0,No,Yes,DSL,Yes,No,No,Yes,No,Yes,No,0
2673-CXQEU,2015-06-01,No,One year,No,Electronic check,110.5,6435.52,1706,56,49-72 meses,Female,1,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,0
6416-JNVRK,2016-04-01,No,One year,No,Credit card (automatic),55.65,2764.69,1401,46,25-48 meses,Female,0,No,No,DSL,No,No,No,No,No,Yes,No,0
5590-ZSKRV,2019-06-01,No,Month-to-month,No,Mailed check,54.65,437.2,245,8,0-12 meses,Female,0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,0
0191-ZHSKZ,2017-08-01,No,Month-to-month,Yes,Electronic check,74.75,2287.35,914,30,25-48 meses,Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No,0
3887-PBQAO,2016-05-01,2017-09-01,One year,Yes,Credit card (automatic),25.9,414.4,488,16,13-24 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,Yes,1
5919-TMRGD,2019-11-01,No,Month-to-month,Yes,Electronic check,79.35,238.05,92,3,0-12 meses,Female,0,No,Yes,Fiber optic,No,No,No,No,Yes,No,No,0
8108-UXRQN,2019-03-01,No,Month-to-month,No,Electronic check,50.55,600.53,337,11,0-12 meses,Female,0,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,No service,0
9191-MYQKX,2019-03-01,No,Month-to-month,Yes,Bank transfer (automatic),75.15,834.92,337,11,0-12 meses,Female,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,0
9919-YLNNG,2016-08-01,No,Month-to-month,Yes,Bank transfer (automatic),103.8,4446.79,1279,42,25-48 meses,Female,0,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,0
0318-ZOPWS,2016-01-01,No,Two year,Yes,Bank transfer (automatic),20.15,987.35,1492,49,49-72 meses,Female,0,Yes,No,No service,No service,No service,No service,No service,No service,No service,No,0
4445-ZJNMU,2019-05-01,No,Month-to-month,Yes,Credit card (automatic),99.3,893.7,276,9,0-12 meses,Male,0,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,0
4808-YNLEU,2017-03-01,No,One year,Yes,Bank transfer (automatic),62.15,2327.52,1067,35,25-48 meses,Female,0,Yes,No,DSL,Yes,No,No,No,Yes,No,No,0
1862-QRWPE,2016-02-01,No,Two year,No,Bank transfer (automatic),20.65,991.2,1461,48,25-48 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
2796-NNUFI,2016-04-01,No,Two year,Yes,Mailed check,19.95,917.7,1401,46,25-48 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
3016-KSVCP,2017-09-01,No,Month-to-month,No,Mailed check,33.75,978.75,883,29,25-48 meses,Male,0,Yes,No,DSL,No,No,No,No,Yes,No,No service,0
4767-HZZHQ,2017-08-01,No,Month-to-month,No,Bank transfer (automatic),82.05,2461.5,914,30,25-48 meses,Male,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,No,0
2424-WVHPL,2020-01-01,No,Month-to-month,No,Electronic check,74.7,79.93,31,1,0-12 meses,Male,1,No,No,Fiber optic,No,No,No,Yes,No,No,No,0
7233-PAHHL,2014-08-01,No,Two year,Yes,Mailed check,84.0,5876.64,2010,66,49-72 meses,Male,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,0
6067-NGCEU,2014-09-01,2015-09-01,Month-to-month,Yes,Credit card (automatic),111.05,1359.25,365,12,0-12 meses,Female,0,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,1
9848-JQJTX,2014-02-01,2016-07-01,Two year,Yes,Bank transfer (automatic),100.9,2984.62,881,29,25-48 meses,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1
8637-XJIVR,2018-12-01,No,Month-to-month,Yes,Electronic check,78.95,1149.51,427,14,13-24 meses,Female,0,No,No,Fiber optic,Yes,No,No,No,No,No,Yes,0
9803-FTJCG,2014-03-01,No,One year,Yes,Credit card (automatic),66.85,5078.59,2163,71,49-72 meses,Male,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,0
0278-YXOOG,2019-06-01,No,Month-to-month,No,Mailed check,21.05,181.87,245,8,0-12 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
3212-KXOCR,2015-10-01,No,Two year,No,Bank transfer (automatic),21.0,1135.68,1584,52,49-72 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
4598-XLKNJ,2017-12-01,No,Month-to-month,Yes,Electronic check,98.5,2637.83,792,26,25-48 meses,Female,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,0
6380-ARCEH,2020-01-01,No,Month-to-month,No,Mailed check,20.2,20.2,31,1,0-12 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
3679-XASPY,2020-01-01,No,Month-to-month,No,Electronic check,19.45,19.45,31,1,0-12 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
7123-WQUHX,2016-12-01,No,One year,No,Bank transfer (automatic),95.0,3610.0,1157,38,25-48 meses,Male,0,No,No,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,0
5386-THSLQ,2014-08-01,2016-06-01,One year,No,Bank transfer (automatic),45.55,1072.25,670,22,13-24 meses,Female,1,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No service,1
3192-NQECA,2014-03-01,2018-03-01,Two year,Yes,Bank transfer (automatic),110.0,5385.6,1461,48,25-48 meses,Male,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,1
6180-YBIQI,2019-09-01,No,Month-to-month,No,Mailed check,24.3,130.0,153,5,0-12 meses,Male,0,No,No,DSL,No,No,No,No,No,No,No service,0
6728-DKUCO,2014-02-01,No,One year,Yes,Electronic check,104.15,7498.8,2191,72,49-72 meses,Female,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,0
9750-BOOHV,2017-06-01,2019-02-01,One year,No,Mailed check,30.15,603.0,610,20,13-24 meses,Female,0,No,No,DSL,Yes,No,No,No,No,No,No service,1
8597-CWYHH,2016-07-01,No,One year,No,Mailed check,94.35,4138.19,1310,43,25-48 meses,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,0
2848-YXSMW,2014-02-01,2018-06-01,Two year,No,Credit card (automatic),19.4,1008.8,1581,52,49-72 meses,Male,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,1
0486-HECZI,2015-05-01,2018-11-01,Month-to-month,Yes,Electronic check,96.75,4429.22,1280,42,25-48 meses,Male,0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,1
4549-ZDQYY,2015-10-01,No,One year,No,Credit card (automatic),57.95,3164.07,1584,52,49-72 meses,Female,0,No,No,DSL,Yes,No,Yes,Yes,No,No,No,0
5712-AHQNN,2016-07-01,No,Month-to-month,Yes,Electronic check,91.65,4256.23,1310,43,25-48 meses,Female,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,No,0
4846-WHAFZ,2016-10-01,2019-06-01,Month-to-month,Yes,Electronic check,76.5,2448.0,973,32,25-48 meses,Female,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1
5256-SKJGO,2014-10-01,No,Two year,Yes,Electronic check,54.6,3529.34,1949,64,49-72 meses,Female,0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,No service,0
3071-VBYPO,2019-11-01,No,Month-to-month,No,Electronic check,89.85,269.55,92,3,0-12 meses,Male,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,No,0
9560-BBZXK,2017-02-01,No,Two year,No,Bank transfer (automatic),31.05,1173.69,1095,36,25-48 meses,Female,0,No,No,DSL,Yes,No,No,No,No,No,No service,0
5299-RULOA,2019-02-01,No,Month-to-month,Yes,Electronic check,100.25,1299.24,365,12,0-12 meses,Female,0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,0
8402-OOOHJ,2016-09-01,No,Two year,No,Mailed check,20.65,922.85,1248,41,25-48 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
9445-ZUEQE,2017-11-01,No,Month-to-month,Yes,Credit card (automatic),85.2,2346.41,822,27,25-48 meses,Male,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Yes,0
1091-SOZGA,2015-06-01,2019-06-01,One year,Yes,Credit card (automatic),99.8,4790.4,1461,48,25-48 meses,Female,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1
2928-HLDBA,2019-08-01,No,Month-to-month,No,Mailed check,20.7,124.2,184,6,0-12 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
0404-SWRVG,2019-09-01,No,Month-to-month,Yes,Electronic check,74.4,372.0,153,5,0-12 meses,Male,0,No,No,Fiber optic,No,No,No,No,No,No,Yes,0
6497-TILVL,2019-07-01,No,Month-to-month,No,Mailed check,50.7,386.84,215,7,0-12 meses,Female,0,Yes,Yes,DSL,Yes,No,No,No,No,No,No,0
7219-TLZHO,2019-10-01,No,Month-to-month,No,Mailed check,20.85,83.4,123,4,0-12 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
4622-YNKIJ,2017-05-01,No,Two year,Yes,Electronic check,88.95,2935.35,1006,33,25-48 meses,Male,0,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,No,0
4412-YLTKF,2017-10-01,No,Month-to-month,Yes,Electronic check,78.05,2185.4,853,28,25-48 meses,Female,1,No,No,Fiber optic,No,No,Yes,No,No,No,Yes,0
6734-PSBAW,2014-02-01,No,Two year,Yes,Bank transfer (automatic),23.55,1780.38,2191,72,49-72 meses,Male,0,Yes,No,No service,No service,No service,No service,No service,No service,No service,Yes,0
3930-ZGWVE,2020-01-01,No,Month-to-month,No,Mailed check,19.75,19.75,31,1,0-12 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
2639-UGMAZ,2014-03-01,No,One year,Yes,Electronic check,56.45,4007.95,2163,71,49-72 meses,Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No service,0
2876-GZYZC,2019-01-01,No,Month-to-month,Yes,Electronic check,85.95,1173.22,396,13,13-24 meses,Female,0,No,No,Fiber optic,No,No,No,No,No,Yes,Yes,0
6207-WIOLX,2017-12-01,No,Month-to-month,Yes,Credit card (automatic),58.6,1523.6,792,26,25-48 meses,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,No service,0
8587-XYZSF,2014-07-01,No,Two year,No,Bank transfer (automatic),50.55,3691.67,2041,67,49-72 meses,Male,0,No,No,DSL,No,No,No,Yes,No,No,No,0
3091-FYHKI,2019-12-01,No,Month-to-month,Yes,Electronic check,35.45,75.15,62,2,0-12 meses,Male,0,No,No,DSL,No,No,No,No,No,Yes,No service,0
2372-HWUHI,2019-11-01,No,Month-to-month,No,Electronic check,44.35,145.02,92,3,0-12 meses,Male,0,No,No,DSL,No,No,No,No,No,No,No,0
7799-LGRDP,2016-07-01,No,Two year,Yes,Credit card (automatic),25.7,1204.56,1310,43,25-48 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,Yes,0
7850-VWJUU,2018-03-01,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1725.0,702,23,13-24 meses,Female,0,No,No,Fiber optic,Yes,No,No,No,No,No,No,0
3774-VBNXY,2014-10-01,2020-01-01,Two year,No,Mailed check,20.2,1272.6,1918,63,49-72 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,1
6217-KDYWC,2015-05-01,No,Two year,Yes,Mailed check,19.6,1161.89,1737,57,49-72 meses,Male,0,No,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
0390-DCFDQ,2019-10-01,No,Month-to-month,Yes,Mailed check,70.45,281.8,123,4,0-12 meses,Female,1,Yes,No,Fiber optic,No,No,No,No,No,No,No,0
3146-MSEGF,2014-02-01,No,Two year,Yes,Credit card (automatic),88.05,6529.79,2191,72,49-72 meses,Female,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
4080-OGPJL,2019-02-01,No,Month-to-month,No,Electronic check,71.15,853.8,365,12,0-12 meses,Female,0,No,No,DSL,Yes,No,No,Yes,No,Yes,Yes,0
1095-WGNGG,2015-01-01,No,Two year,Yes,Bank transfer (automatic),101.05,6657.17,1857,61,49-72 meses,Female,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,0
2636-SJDOU,2014-10-01,No,One year,Yes,Credit card (automatic),84.3,5611.01,1949,64,49-72 meses,Male,0,No,No,Fiber optic,Yes,Yes,No,No,No,No,Yes,0
1131-QQZEB,2014-03-01,No,Two year,No,Bank transfer (automatic),23.95,1700.45,2163,71,49-72 meses,Male,1,Yes,No,No service,No service,No service,No service,No service,No service,No service,Yes,0
